ID,arabic,english,secondsToRecite,minutesToRecite,shortDescription
1,,,120,2,salawat x 33
2,,,360,6,salawat x 100
3,,,60,1,"subhanallah x 33, alhamdulillah x 33, allahuakbar x 33"
4,,,18,0.3,"subhanallah x 10, alhamdulillah x 10, allahuakbar x 10"
5,,,0,,hasbunallahu wa nimal wakeel
6,,,18,0.3,la ilaha illallah x 10
7,,,30,0.5,ayat al kursi
8,,,30,0.5,al fatihah
9,,,6,0.1,Q2:201
15,,,60,1,astaghfirullah x 100
16,,,30,0.5,la hawla wa la quwwata illa billah x 10
17,,,90,1.5,la hawla wa la quwwata illa billah x 33
18,,,300,5,la hawla wa la quwwata illa billah x 100
